Date,Open,High,Low,Volume,Close
2018-09-21,366.589996,372.220001,360.73999,11930600,361.190002
2018-09-24,359.0,373.640015,354.329987,9322500,369.609985
2018-09-25,370.230011,371.339996,364.48999,6799800,369.429993
2018-09-26,373.589996,382.0,370.880005,13799700,377.880005
2018-09-27,379.869995,383.200012,376.0,7326200,380.709991
2018-09-28,379.23999,380.799988,373.730011,7114900,374.130005
2018-10-01,375.850006,386.109985,375.589996,8376600,381.429993
2018-10-02,384.380005,386.799988,373.829987,8638700,377.140015
2018-10-03,378.529999,380.929993,374.880005,5798600,377.049988
2018-10-04,375.880005,375.920013,360.399994,9074400,363.649994
2018-10-05,359.769989,363.5,343.0,13523000,351.350006
2018-10-08,345.179993,352.950012,338.109985,12375500,349.100006
2018-10-09,348.480011,358.720001,347.089996,8755000,355.709991
2018-10-10,353.519989,355.149994,325.390015,17183100,325.890015
2018-10-11,324.940002,334.200012,315.809998,16082100,321.100006
2018-10-12,339.570007,341.299988,328.899994,14870800,339.559998
2018-10-15,337.630005,339.209991,326.929993,11215000,333.130005
2018-10-16,337.23999,347.950012,330.559998,20156400,346.399994
2018-10-17,378.329987,380.0,356.5,32610900,364.700012
2018-10-18,360.670013,362.200012,346.049988,18461000,346.709991
2018-10-19,351.0,355.799988,332.200012,16717200,332.670013
2018-10-22,333.100006,335.799988,320.339996,17097200,329.540009
2018-10-23,318.0,336.579987,316.769989,14907300,333.160004
2018-10-24,332.279999,333.0,300.730011,19039300,301.829987
2018-10-25,307.119995,319.940002,305.25,13346900,312.869995
2018-10-26,300.51001,313.98999,292.299988,19616000,299.829987
2018-10-29,305.26001,307.890015,275.399994,21698800,284.839996
2018-10-30,275.570007,290.519989,271.209991,23685700,285.809998
2018-10-31,297.769989,311.5,295.049988,20360300,301.779999
2018-11-01,304.589996,318.450012,296.670013,15121500,317.380005
2018-11-02,318.0,321.880005,308.329987,13404600,309.100006
2018-11-05,311.100006,317.529999,303.73999,10283000,315.440002
2018-11-06,314.76001,320.220001,305.299988,9710400,310.839996
2018-11-07,312.899994,328.559998,311.0,13328300,327.5
2018-11-08,328.0,332.049988,316.609985,11023900,317.920013
2018-11-09,311.070007,312.980011,298.01001,13480800,303.470001
2018-11-12,300.0,302.48999,290.630005,10924800,294.070007
2018-11-13,295.0,303.549988,289.100006,12232200,294.399994
2018-11-14,300.399994,301.839996,278.299988,16853600,286.730011
2018-11-15,285.51001,292.5,282.160004,9967100,290.059998
2018-11-16,287.140015,291.720001,281.0,9099500,286.209991
2018-11-19,283.790009,285.089996,269.149994,12993800,270.600006
2018-11-20,254.630005,276.339996,250.0,16693800,266.980011
2018-11-21,274.420013,275.339996,261.51001,11023000,262.130005
2018-11-23,260.109985,265.5,256.839996,5245100,258.820007
2018-11-26,260.549988,266.25,253.800003,12498600,261.429993
2018-11-27,259.23999,269.079987,256.140015,11149500,266.630005
2018-11-28,271.980011,284.0,263.339996,14801300,282.649994
2018-11-29,282.320007,290.48999,275.5,15431500,288.75
2018-11-30,288.0,290.809998,283.059998,11860100,286.130005
2018-12-03,293.190002,298.720001,284.579987,14117400,290.299988
2018-12-04,288.130005,295.73999,274.720001,12800600,275.329987
2018-12-06,268.329987,283.220001,267.140015,13074300,282.880005
2018-12-07,282.480011,284.209991,263.380005,12466700,265.140015
2018-12-10,264.190002,271.179993,260.609985,9605600,269.700012
2018-12-11,274.079987,274.5,262.76001,9843200,265.320007
2018-12-12,267.660004,281.769989,266.480011,11456700,274.880005
2018-12-13,277.640015,279.320007,271.850006,8379300,276.019989
2018-12-14,271.809998,277.670013,265.0,9915300,266.839996
2018-12-17,266.51001,272.980011,261.079987,9634700,262.799988
2018-12-18,263.299988,275.75,263.290009,10350100,270.940002
2018-12-19,269.959991,280.869995,263.769989,13788400,266.769989
2018-12-20,264.640015,269.899994,251.880005,16792900,260.579987
2018-12-21,263.829987,264.5,241.289993,21397600,246.389999
2018-12-24,242.0,250.649994,233.679993,9547600,233.880005
2018-12-26,233.919998,254.5,231.229996,14402700,253.669998
2018-12-27,250.110001,255.589996,240.100006,12235200,255.570007
2018-12-28,257.940002,261.910004,249.800003,10992800,256.079987
2018-12-31,260.160004,270.100006,260.0,13508900,267.660004
2019-01-02,259.279999,269.75,256.579987,11679500,267.660004
2019-01-03,270.200012,275.790009,264.429993,14969600,271.200012
2019-01-04,281.880005,297.799988,278.540009,19330100,297.570007
2019-01-07,302.100006,316.799988,301.649994,18620100,315.339996
2019-01-08,319.980011,320.589996,308.01001,15359200,320.269989
2019-01-09,317.709991,323.350006,313.5,13343200,319.959991
2019-01-10,314.570007,325.369995,312.5,13472500,324.660004
2019-01-11,330.959991,341.089996,328.519989,19500400,337.589996
2019-01-14,334.23999,335.480011,329.130005,10499600,332.940002
2019-01-15,349.600006,357.220001,347.0,21181200,354.640015
2019-01-16,354.0,358.850006,348.109985,15385500,351.390015
2019-01-17,349.5,355.790009,346.410004,18871200,353.190002
2019-01-18,351.970001,353.0,336.730011,26621000,339.100006
2019-01-22,334.890015,336.880005,321.029999,17941400,325.160004
